GNL_STR_NBR_ID,GNL_ITEM_ID,WEEK_END_DATE,YEAR,WEEK,AVG_WEEKLY_PRCP,AVG_WEEKLY_TEMP,POS_QTY,POS_AMT
859,37239,06-09-2013,2013,36,0.006428,80.890714,0,0
859,37239,13-09-2013,2013,37,0.002714,81.563571,0,0
859,37239,20-09-2013,2013,38,0.003428,80.281428,0,0
859,37239,27-09-2013,2013,39,0.007,78.435,0,0
859,37239,04-10-2013,2013,40,0,79.513571,0,0
859,37239,11-10-2013,2013,41,0.005142,76.807857,0,0
859,37239,18-10-2013,2013,42,0,76.344285,0,0
859,37239,25-10-2013,2013,43,0.000285,74.158571,0,0
859,37239,01-11-2013,2013,44,0.002285,71.973571,0,0
859,37239,08-11-2013,2013,45,0,71.552142,0,0
859,37239,15-11-2013,2013,46,0.001428,68.652142,0,0
859,37239,22-11-2013,2013,47,0.000142,74.088571,0,0
859,37239,29-11-2013,2013,48,0.001142,63.217142,0,0
859,37239,06-12-2013,2013,49,0,70.007857,0,0
859,37239,13-12-2013,2013,50,0,68.987857,0,0
859,37239,20-12-2013,2013,51,0.001428,62.66,0,0
859,37239,27-12-2013,2013,52,0,68.221428,0,0
859,37239,03-01-2014,2014,1,0.006,62.105714,0,0
859,37239,10-01-2014,2014,2,0.001714,61.595,0,0
859,37239,17-01-2014,2014,3,0.000428,55.282857,0,0
859,37239,24-01-2014,2014,4,0.000571,53.067142,0,0
859,37239,31-01-2014,2014,5,0.003714,60.07,0,0
859,37239,07-02-2014,2014,6,0.000428,66.903571,0,0
859,37239,14-02-2014,2014,7,0.002142,60.657142,0,0
859,37239,21-02-2014,2014,8,0.000142,66.168571,0,0
859,37239,28-02-2014,2014,9,0.002142,65.285714,0,0
859,37239,07-03-2014,2014,10,0.001142,64.887857,0,0
859,37239,14-03-2014,2014,11,0.000142,64.829285,0,0
859,37239,21-03-2014,2014,12,0.005428,69.827857,0,0
859,37239,28-03-2014,2014,13,0.004,66.021428,5,18.15
859,37239,04-04-2014,2014,14,0,68.020714,12,43.56
859,37239,11-04-2014,2014,15,0.001428,70.711428,60,178.2
859,37239,18-04-2014,2014,16,0.001857,71.692142,78,231.66
859,37239,25-04-2014,2014,17,0,70.893571,254,754.38
859,37239,02-05-2014,2014,18,0.006428,77.190714,330,980.1
859,37239,09-05-2014,2014,19,0.000285,76.052857,786,2334.42
859,37239,16-05-2014,2014,20,0.001857,76.892857,74,219.78
859,37239,23-05-2014,2014,21,0,76.051428,161,478.17
859,37239,30-05-2014,2014,22,0.002428,79.664285,476,1413.72
859,37239,06-06-2014,2014,23,0.000285,78.648571,410,1217.7
859,37239,13-06-2014,2014,24,0.004857,79.212142,234,694.98
859,37239,20-06-2014,2014,25,0.003857,79.633571,67,221.1
859,37239,27-06-2014,2014,26,0.010142,81.909285,92,302.01
859,37239,04-07-2014,2014,27,0.006,81.701428,20,66
859,37239,11-07-2014,2014,28,0.008285,80.191428,0,0
859,37239,18-07-2014,2014,29,0.005142,81.112857,84,277.2
859,37239,25-07-2014,2014,30,0.008714,82.074285,128,422.4
859,37239,01-08-2014,2014,31,0.001142,82.739285,68,224.4
859,37239,08-08-2014,2014,32,0.007142,82.213571,145,442.86
